Mã học phần 	Tên học phần	Tín chỉ
HG151	Phương pháp nghiên cứu khoa học - KDNN	3
AQ103	Quản lý trại giống cá	2
AQ107	Thực tập thực tế - NTTS	6
AQ203	Tiếng Anh Nuôi trồng thủy sản 1	3
AQ204	Tiếng Anh Nuôi trồng thủy sản 2	3
AQ205C	Vi sinh	3
AQ206T	Nhập môn Khoa học nghề cá	3
AQ207	Khoa học môi trường nước	3
AQ208	Phân loại học đại cương	3
AQ209	Ao hồ học	3
AQ210	Sinh thái học đại cương	2
AQ211	Sinh lý động vật thủy sản	3
AQ212	Dinh dưỡng động vật thủy sản	3
AQ214	Thống kê và phép thí nghiệm	3
AQ216	Phương pháp nghiên cứu khoa học	2
AQ218	Kỹ thuật phân tích chất lượng nước	3
AQ219	Thực tập giáo trình cơ sở	5
AQ220	Sinh học cá	2
AQ221	Kỹ thuật nuôi thủy sản	3
AQ223	Quản lý trại giống giáp xác và nhuyễn thể	3
AQ224T	Thiết bị và công trình thủy sản	2
AQ227ET	Vệ sinh an toàn thực phẩm thủy sản	2
AQ228	Công nghệ sinh học trong nuôi trồng thủy sản	2
AQ228T	Công nghệ sinh học trong nuôi trồng thủy sản	2
AQ229T	Quan trắc sinh học môi trường nước	2
AQ230	Đa dạng sinh học và quản lý nguồn lợi thủy sản	2
AQ231	Thực tập giáo trình chuyên môn nước ngọt	6
AQ232	Thực tập giáo trình chuyên môn hải sản	6
AQ233	Chuyên đề ngoại khóa - TSTT	1
AQ303	Kỹ thuật nuôi giáp xác và nhuyễn thể	3
AQ305	Đại cương về bệnh thủy sản và phương pháp chẩn đoán	3
AQ306C	Bệnh Thủy sản	3
AQ307	Cải tiến di truyền và quản lý nguồn lợi	3
AQ310T	Sản xuất thức ăn tươi sống	2
AQ311ET	Quy hoạch phát triển thủy sản	2
AQ312	Kinh tế thủy sản	2
AQ315	Thuyết trình	1
AQ503	Luận văn tốt nghiệp - NTTS	15
BC461C	Sinh hóa 1	3
BC462C	Sinh hóa 2	3
BS110C	Sinh học đại cương 1	3
BS111C	Sinh học đại cương 2	3
BS210C	Thực hành sinh học đại cương 1	1
BS211C	Thực hành sinh học đại cương 2	1
BT117	Thống kê sinh học và Phương pháp thí nghiệm	3
BT118	Kỹ năng viết trong khoa học và kỹ thuật	3
BT147	Đạo đức và Phương pháp nghiên cứu khoa học	2
BT148	Công nghệ AI và máy học trong công nghệ sinh học	2
BT149	Công nghệ sinh học nano	2
BT150	Miễn dịch học và công nghệ sản xuất vaccine	2
BT200	Toán cao cấp	3
BT200C	Thực tập nhận thức	1
BT202	Di truyền học cơ bản	3
BT203	Thực tập Di truyền học cơ bản	1
BT214	Vật lý	3
BT215	Thực hành Vật lý	1
BT216	Công nghệ sinh học căn bản	3
BT217	TT. Công nghệ di truyền	1
BT218	Công nghệ sinh học trong y dược	2
BT219	Công nghệ sinh học trong môi trường	2
BT220	Công nghệ sinh học thực phẩm	2
BT221	Công nghệ sinh học vi sinh vật	2
BT223	Công nghệ di truyền	2
BT224	Thực hành hóa học đại cương	1
BT225E	Chuyên đề công nghệ sinh học 1	2
BT226E	Chuyên đề công nghệ sinh học 2	2
BT227	Hóa học đại cương	3
BT228	Hóa học hữu cơ	2
BT229	Thực hành Hóa học hữu cơ	1
BT230	Thực hành sinh hóa 1	1
BT231	Thực hành sinh hóa 2	1
BT297	Virus học	2
BT298	Thực tập Virus học	1
BT299E	An toàn sinh học và hệ thống quản lý	2
BT300E	Sinh lý người và động vật	3
BT302	Sinh học phân tử	3
BT303	Thực tập Sinh học phân tử	1
BT303CE	Tin sinh học	3
BT304C	Công nghệ lên men thực phẩm	2
BT305C	Nuôi cấy mô tế bào thực vật	2
BT306C	Protein học	3
BT307CE	Khía cạnh kinh tế xã hội của công nghệ sinh học	2
BT313	Đa dạng sinh học	2
BT404C	TT. Công nghệ lên men thực phẩm	1
BT405C	TT. Nuôi cấy mô tế bào thực vật	1
BT406C	TT. Protein học	1
BT480C	Thực tập cơ sở sản xuất	3
BT499C	Luận văn tốt nghiệp	10
CN004	Khí tượng thủy văn	2
CN008E	Kỹ thuật cơ khí đại cương	2
CN038	Động lực học và điều khiển robot	3
CN038T	Động lực học và điều khiển robot	3
CN039T	Vật liệu xây dựng tiến tiến	2
CN040HT	Vi điều khiển và hệ thống nhúng	3
CN040T	Vi điều khiển và hệ thống nhúng	3
CN041	TT. Kỹ thuật điều khiển	2
CN042	Tin học ứng dụng - kỹ thuật điện	3
CN042H	Tin học ứng dụng - kỹ thuật điện	3
CN043	Thực tập Gia công CNC	3
CN044	TT. Mạng công nghiệp và truyền thông	1
CN046	Tin học ứng dụng - Kỹ thuật 3	2
CN046H	Tin học ứng dụng - Kỹ thuật 3	2
CN047	Thực tập trắc địa đại cương	1
CN048	Thực tập vật liệu xây dựng cơ bản	1
CN049	Thực tập Nguội, hàn, rèn, đúc	2
CN050	Thực tập Gia công cắt gọt	2
CN051	Thực tập cơ học đất - XD	1
CN052	Thực hành Điện tử công suất	2
CN052H	Thực hành Điện tử công suất	2
CN053H	Thống kê ứng dụng kỹ thuật	2
CN054	Seminar 1 - Logistics	2
CN055	Seminar 1 - Quản lý công nghiệp	2
CN056	TT. Mạch điện tử và xung số	2
CN056H	TT. Mạch điện tử và xung số	2
CN057	Tham quan định hướng ngành nghề - KTĐ	2
CN058	TT. Địa chất công trình - CTGT	1
CN059T	Phương pháp phần tử hữu hạn	2
CN060T	Phương pháp nghiên cứu khoa học - công nghệ	2
CN061	Đồ án thiết kế chế tạo khuôn mẫu	2
CN063E	Anh văn chuyên ngành kỹ thuật y sinh	2
CN064	Kỹ thuật thiết bị y học	3
CN065	Giải phẫu người	3
CN066E	Nhập môn kỹ thuật y sinh (y đức)	2
CN067	Kỹ thuật vật liệu y sinh	2
CN068E	An toàn trong Kỹ thuật y sinh	2
CN069	Trí tuệ nhân tạo - Y sinh	3
CN070	Quang y sinh	3
CN071	Thống kê trong kỹ thuật y sinh	2
CN072E	Mô hình hóa và mô phỏng y sinh	3
CN073E	Cảm biến y sinh	3
CN074	Kỹ thuật chẩn đoán hình ảnh	3
CN075	Thực tập thiết bị chẩn đoán	2
CN076	Kỹ thuật xét nghiệm	2
CN077	Kỹ thuật điện tim	2
CN078	Kỹ thuật điện não	2
CN079	Kỹ thuật siêu âm	2
CN080	Thực tập thiết bị điều trị	2
CN081	Xử lý tín hiệu y sinh	3
CN082E	Tổng quan về hệ thống dẫn truyền thuốc	2
CN083	Đồ án chuyên ngành KTYS	2
CN084	Thực tập thực tế chuyên ngành y sinh	2
CN086	Chuyên đề kỹ thuật y sinh	2
CN087	Linh kiện điện tử - bán dẫn	3
CN088	Vật lý bán dẫn	3
CN089E	Giải tích mạch	3
CN090	Mạch điện tử	3
CN090H	Mạch điện tử	3
CN091	TT. Mạch điện tử	1
CN092E	Kỹ thuật số	3
CN093	TT. Kỹ thuật số	1
CN094	Vi xử lý	3
CN095	TT. Vi xử lý	1
CN096	Hóa vật liệu điện tử	3
CN097	Cơ khí nông nghiệp đại cương	2
CN100	Nhập môn kỹ thuật	2
CN101E	Cơ lý thuyết	2
CN102	Địa chất công trình	2
CN104	Vật liệu xây dựng	2
CN105	TT. Vật liệu xây dựng	1
CN106	Sức bền vật liệu - XD	3
CN108E	Cơ học lưu chất	2
CN109	TT. Cơ học lưu chất	1
CN110	Trắc địa	2
CN111	TT. Trắc địa	1
CN117E	Phương pháp tính - Kỹ thuật	2
CN119	Nguyên lý quy hoạch	2
CN122	Bản đồ học và GIS	2
CN123	Kết cấu bê-tông cơ sở	2
CN124	Thủy lực công trình	2
CN126E	Anh văn chuyên môn xây dựng	2
CN128	Kỹ thuật điện	2
CN131	Hình họa và vẽ kỹ thuật - XD	3
CN132	Hình họa và vẽ kỹ thuật - CK	3
CN132E	Hình họa và vẽ kỹ thuật - CK	2
CN136	Cơ lý thuyết - CK	3
CN137	Sức bền vật liệu - CK	3
CN138	Dung sai và kỹ thuật đo	2
CN139	Nhiệt động lực học và truyền nhiệt	3
CN142	Cơ học máy	3
CN145	Cơ sở thiết kế máy	2
CN147E	Vật liệu cơ khí và nhiệt luyện	2
CN149	Truyền động thủy lực và khí nén	2
CN151	Kỹ thuật số	2
CN152	Phương pháp thí nghiệm và xử lý số liệu	2
CN154	Cơ học kết cấu	3
CN155E	Khoa học về an toàn và bảo hộ lao động	2
CN156	Anh văn chuyên môn cơ khí	2
CN157	Anh văn chuyên môn quản lý công nghiệp	2
CN158E	Anh văn chuyên môn - Kỹ thuật điện	2
CN159E	Anh văn chuyên môn - Cơ điện tử	2
CN166	Anh văn chuyên môn công nghệ hóa học	2
CN177	An toàn điện	2
CN185T	Quy hoạch hệ thống điện	2
CN189	Cơ học lưu chất - CK	2
CN194	Đồ án kiến trúc	2
CN195	Đồ án Cơ sở thiết kế máy	2
CN197	Đồ án thiết kế và chế tạo sản phẩm - CNHH	2
CN198T	Điều khiển quá trình - CNHH	2
CN199	Hóa học và hóa lý polymer	3
CN201	Quản lý dự án công nghiệp	2
CN206	Thiết kế vị trí và mặt bằng HTCN	2
CN208	Vận trù học 1 - QLCN	3
CN209	Vận trù học 2 - QLCN	2
CN210	Kiểm soát chất lượng	2
CN212	Kỹ thuật hệ thống	2
CN218	Mô hình hóa và mô phỏng HTCN	2
CN220	Thực tập ngành nghề - QLCN	2
CN229	Cơ sở thiết kế nhà máy hóa chất	2
CN230	Kỹ thuật môi trường	2
CN231	Kỹ thuật phản ứng	3
CN232	Thiết bị cơ lưu chất và cơ vật liệu rời	3
CN233	TT. Quá trình và Thiết bị - CNHH	2
CN239	Công nghệ các chất hoạt động bề mặt	2
CN240	Thực tập ngành nghề - CNHH	2
CN247	Hóa học chất kích thích và bảo vệ thực vật	2
CN255	Dụng cụ đo	2
CN275E	Nhà máy điện	2
CN277E	Vận hành và điều khiển hệ thống điện	2
CN279E	Thiết kế hệ thống điện	2
CN284T	Đánh giá độ tin cậy của hệ thống điện	2
CN298ET	Mạng công nghiệp và truyền thông	2
CN298HT	Mạng công nghiệp và truyền thông	2
CN301	Thủy văn công trình	2
CN305	Kết cấu thép	2
CN306	Máy bơm và Trạm bơm	2
CN307E	Cấp thoát nước	2
CN309	Bê tông chuyên ngành - TC	2
CN311	Máy xây dựng và kỹ thuật thi công	3
CN315	Thủy công	3
CN320	Thực tập ngành nghề - TC	2
CN325	Công trình ven biển	2
CN326	Quy hoạch thủy lợi	2
CN328	Kết cấu thép nhà công nghiệp	2
CN331E	Tin học ứng dụng - Kỹ thuật 1	2
CN332E	Tin học ứng dụng - Kỹ thuật 2	2
CN333H	Hóa học chất rắn	3
CN335	Quy hoạch đô thị	2
CN337E	Luật xây dựng	2
CN340E	Quản lý sản xuất công nghiệp	3
CN340ET	Quản lý sản xuất công nghiệp	3
CN351E	Tổ chức thi công	2
CN366	Thi công cầu	2
CN371	Thí nghiệm đường ô tô	1
CN373	Đường hầm	2
CN374	Quy hoạch giao thông	2
CN390	Công nghệ và thiết bị tạo phôi	2
CN391	Công nghệ chế tạo khuôn mẫu	2
CN392	CAD, CAM, CNC	3
CN393E	Các phương pháp gia công đặc biệt	2
CN394E	Tự động hóa sản xuất công nghiệp	2
CN398	Thực tập ngành nghề cơ khí chế tạo máy	2
CN399E	Trang bị điện trong máy công nghiệp	2
CN403	Quá trình và thiết bị công nghiệp	2
CN408	Quản lý sản xuất công nghiệp	2
CN408T	Quản lý sản xuất công nghiệp	2
CN413E	Tạo mẫu nhanh	2
CN414	Quản lý kỹ thuật bảo trì công nghiệp	2
CN416E	Thiết kế hệ thống cơ điện tử	2
CN419	Công nghệ sản xuất sạch	2
CN439	Kỹ thuật điều hòa nhiệt độ và thông gió	2
CN442	Điện công nghiệp	2
CN445	Kỹ thuật lò hơi	2
CN463	Khảo nghiệm và kiểm định ô tô	2
CN473	Kỹ thuật nâng chuyển	2
CN482	Máy công cụ	2
CN484E	Thiết kế trang bị công nghệ	2
CN488E	Tin học ứng dụng - CNHH	2
CN490	Đồ án chuyên ngành - CNHH	2
CN491	Đồ án Quá trình và Thiết bị - CNHH	2
CN500	Cơ học ứng dụng	3
CN508	Đồ án kết cấu bê-tông - TC	2
CN509	Đồ án thủy lực công trình	2
CN510	Đồ án nền móng công trình	2
CN511	Đồ án Thi công công trình thủy lợi	2
CN512	Đồ án thủy công	2
CN513	Đồ án máy bơm và trạm bơm	2
CN514	Quản lý dự án xây dựng	3
CN514T	Quản lý dự án xây dựng	3
CN515	Đồ án Cấp thoát nước	2
CN516	Đồ án thiết kế hệ thống cơ điện tử	2
CN518E	Đồ án hệ thống điện	2
CN520E	Báo cáo chuyên đề kỹ thuật điện	2
CN521	Đồ án kết cấu bê-tông	2
CN522	Đồ án kết cấu thép	2
CN523	Đồ án thi công	2
CN524	Thực tập ngành nghề - XDDD	2
CN525	Đồ án quản lý dự án công nghiệp	2
CN526	Đồ án thiết kế vị trí và mặt bằng	2
CN527	Đồ án quản lý kỹ thuật bảo trì công nghiệp	2
CN528	Đồ án mô hình hóa và mô phỏng các hệ thống công nghiệp	2
CN529	Đồ án Công nghệ chế tạo máy	2
CN532	Thi công đường	2
CN537	Đồ án Thi công cầu	2
CN538	Đồ án Thi công đường	2
CN541	Đồ án ô tô	2
CN542	Kinh tế kỹ thuật	3
CN542T	Kinh tế kỹ thuật	3
CN543	Quản trị nguồn nhân lực	3
CN548	Đo lường và thiết kế công việc	3
CN549	Quản lý vật tư - tồn kho	3
CN550E	Quản lý chuỗi cung ứng và hậu cần	3
CN551	Kỹ thuật điều độ trong sản xuất và dịch vụ	3
CN552ET	Phương pháp nghiên cứu và viết báo cáo khoa học	2
CN556	Kỹ thuật sấy và bảo quản nông sản thực phẩm	3
CN561	Truyền khối - CNHH	3
CN563E	Thiết kế và phân tích thí nghiệm	3
CN564	Các phương pháp phân tích hiện đại - CNHH	3
CN565	Thực hành Các phương pháp phân tích hiện đại - CNHH	1
CN566E	Lý thuyết ô tô	3
CN568	Lý thuyết tính toán và thiết kế động cơ đốt trong	3
CN571	Thiết kế ô tô	3
CN574	Thực tập sửa chữa ô tô	3
CN579	Điều khiển logic có thể lập trình (PLC)	3
CN579H	Điều khiển logic có thể lập trình (PLC)	3
CN582E	Cơ cấu chấp hành cơ điện tử	3
CN584	Kỹ thuật điện lạnh	3
CN584H	Kỹ thuật điện lạnh	3
CN585	Kỹ thuật điện cao áp	3
CN585H	Kỹ thuật điện cao áp	3
CN586	Thực hành Kỹ thuật điện cao áp	2
CN586H	Thực hành Kỹ thuật điện cao áp	2
CN587	Thực tập doanh nghiệp - CTT	5
CN588HT	Quản lý dự án	2
CN588T	Quản lý dự án	2
CN589	Tổ chức thi công - CTGT	2
CN590	Trí tuệ nhân tạo và ứng dụng	2
CN591T	Nông nghiệp chính xác	2
CN592	Ô tô điện và ô tô tự lái	3
CN593	Kinh thầu thiết bị y tế	2
CN594HT	Kỹ thuật vật liệu năng lượng	3
CN594T	Kỹ thuật vật liệu năng lượng	3
CN595HT	Kỹ thuật vi cấu trúc và vi chế tạo	3
CN595T	Kỹ thuật vi cấu trúc và vi chế tạo	3
CN596T	Điều khiển thông minh	3
CN597T	Ứng dụng mô hình tích hợp trong địa cơ học	3
CN598HT	Ứng dụng mô hình tích hợp trong địa kỹ thuật	3
CN609	Động lực học và điều khiển robot	3
CN615	SCADA: Phân tích và thiết kế	3
CS102	Sinh học phân tử	3
CS103	Thực hành Sinh học phân tử	1
CS104E	Vi sinh học công nghiệp	2
CS105	Thực hành Vi sinh học công nghiệp	1
CS106	Vi sinh học môi trường	2
CS107	Thực hành Vi sinh học môi trường	1
CS108	Virus học đại cương	2
CS110	Anh văn chuyên ngành - CNSH	2
CS111	Vi sinh học đại cương B	2
CS112	Vi sinh học đại cương	3
CS113	Thực hành Vi sinh học đại cương	1
CS114	Sinh hóa	3
CS115	Thực hành Sinh hóa	1
CS116	TT. Virus học đại cương	1
CS117	Thống kê sinh học và phương pháp thí nghiệm	3
CS118	Phương pháp phân tích vi sinh vật	2
CS119	TT. Phương pháp phân tích vi sinh vật	1
CS124	Cơ sở di truyền học	2
CS125	TT. Cơ sở di truyền học	1
CS126	Kỹ thuật phân tích và thiết bị	2
CS127	TT. Kỹ thuật phân tích và thiết bị	1
CS128	Hóa sinh công nghiệp	2
CS129	TT. Hóa sinh công nghiệp	1
CS130	Thiết kế nhà máy thực phẩm	2
CS130E	Thiết kế nhà máy thực phẩm	2
CS131	Kinh doanh và marketing thực phẩm	2
CS132E	Anh văn chuyên ngành - CNSTH	2
CS133	Ứng dụng IoT trong hoạt động sau thu hoạch	2
CS134	Logistic và quản lý chuỗi cung ứng thực phẩm	2
CS134E	Logistic và quản lý chuỗi cung ứng thực phẩm	2
CS135	Kiểm soát bệnh và côn trùng nông sản thực phẩm sau thu hoạch	2
CS136	Các quá trình hóa lý trong công nghệ thực phẩm	2
CS137	TT. Các quá trình hóa lý trong công nghệ thực phẩm	1
CS138	Sản xuất sạch hơn	2
CS139T	Các quá trình nhiệt độ cao trong chế biến thực phẩm	2
CS140T	Các quá trình nhiệt độ thấp trong chế biến thực phẩm	2
CS141	Chuyên đề Công nghệ chế biến thịt và gia cầm	2
CS142	Chuyên đề Công nghệ chế biến thủy và hải sản	2
CS143	Chuyên đề Công nghệ chế biến sữa và sản phẩm sữa	2
CS144	Chuyên đề Công nghệ sản xuất rượu bia và nước giải khát	2
CS145	Chuyên đề Công nghệ chế biến đường - Bánh kẹo	2
CS146	Chuyên đề Công nghệ chế biến chè, cà phê, ca cao	2
CS146E	Chuyên đề Công nghệ chế biến chè, cà phê, ca cao	2
CS147	Đạo đức và Phương pháp nghiên cứu khoa học	2
CS148	Ứng dụng AI trong công nghệ sinh học	2
CS149	Công nghệ sinh học nano	2
CS153	Thực hành nông nghiệp tốt (GAP và BAP)	2
CS201E	Vi khuẩn học	3
CS209E	Chẩn đoán phân tử	2
CS211	Thực hành Công nghệ di truyền	1
CS212	Công nghệ sinh học trong môi trường	2
CS213E	Vi sinh học y dược	2
CS214	Vi sinh học thực phẩm	2
CS215	TT. Vi sinh học thực phẩm	1
CS216HE	Công nghệ chế biến thực phẩm 1	3
CS217HE	Công nghệ chế biến thực phẩm 2	3
CS218HE	Kỹ thuật các quá trình chế biến thực phẩm hiện đại	3
CS299E	An toàn sinh học và hệ thống quản lý	2
CS300E	Khía cạnh kinh tế xã hội của công nghệ sinh học	2
CS302E	Nhập môn công nghệ sinh học	2
CS303	An toàn trong thực phẩm và môi trường	2
CS304	Thực tế cơ sở - CNSH	1
CS311E	Protein và Enzim học	2
CS312	TT. Protein và Enzim học	1
CS313E	Tin sinh học	2
CS316	Nấm học	2
CS317	TT. Nấm học	1
CS318	Lên men thực phẩm	2
CS319	TT. Lên men thực phẩm	1
CS320	Công nghệ di truyền	2
CS320E	Công nghệ di truyền	2
CS322	Tiểu luận tốt nghiệp - CNSH	4
CS323	Luận văn tốt nghiệp - CNSH	10
CS326E	Báo cáo chuyên đề công nghệ sinh học	2
CS327	Nuôi cấy mô tế bào thực vật và động vật	3
CS328	TT. Nuôi cấy mô tế bào thực vật và động vật	1
CS329	Công nghệ sinh học thực phẩm	2
CS337	Công nghệ sản xuất phân sinh học và phân hữu cơ	2
CS338E	Vaccin học	2
CS343E	Chất điều hòa sinh trưởng thực vật	2
CS344	Công nghệ sinh học trong y dược	2
CS345	Vi sinh vật nông nghiệp	2
CS347	Sinh thái vi sinh vật	2
CS349	Nấm thực phẩm và dược liệu	2
CS441C	Công nghệ sinh học và chọn giống thực vật	2
CS442C	TT. Công nghệ sinh học và chọn giống thực vật	1
CS443C	Công nghệ sinh học và chọn giống thủy sản	2
CS444C	TT. Công nghệ sinh học và chọn giống thủy sản	1
CS465C	Sinh lý thực vật	2
CS466C	TT. Sinh lý thực vật	1
CT003	Năng lực số ứng dụng (*)	1
CT003H	Năng lực số ứng dụng (*)	1
CT004	Thực hành Năng lực số ứng dụng (*)	2
CT004H	Thực hành Năng lực số ứng dụng (*)	2
CT005	Nền tảng công nghệ số	4
CT005H	Nền tảng công nghệ số	4
CT043	Nghệ thuật học đại cương	2
CT044	Nguyên lý thiết kế đồ họa	2
CT045	Biên tập truyền thông	2
CT046	Kỹ thuật nhiếp ảnh	2
CT047	Kỹ thuật quay phim	2
CT048	Digital Marketing căn bản	3
CT049	Cơ sở dữ liệu trong Truyền thông đa phương tiện	3
CT051H	Vi - Tích phân	4
CT052H	Đại số tuyến tính và hình học	3
CT053H	Xác suất thống kê	3
CT054H	Lập trình căn bản A	4
CT055H	Kỹ năng giao tiếp	1
CT055HE	Kỹ năng giao tiếp	1
CT056H	Kỹ năng thuyết trình	1
CT056HE	Kỹ năng thuyết trình	1
CT057H	Kỹ năng làm việc nhóm	1
CT057HE	Kỹ năng làm việc nhóm	1
CT058H	Kỹ năng giải quyết vấn đề	1
CT058HE	Kỹ năng giải quyết vấn đề	1
CT059H	Kỹ năng tư duy phản biện	1
CT059HE	Kỹ năng tư duy phản biện	1
CT060HE	Kỹ năng viết báo cáo khoa học	1
CT061	Nền tảng Kỹ xảo điện ảnh	3
CT062	Nhập môn Lập trình đa phương tiện	2
CT063	Tiền kỳ trong điện ảnh	3
CT064	Bảo mật, an toàn hệ thống thông tin trong thương mại điện tử	3
CT065	Nền tảng công nghệ thông tin - TMDT	3
CT066	Cơ sở dữ liệu - TMDT	3
CT067	Mạng máy tính - TMDT	3
CT068	Hệ thống thông tin quản lý - TMDT	3
CT069	Nghiệp vụ thông minh - TMDT	3
CT070	Phân tích và thiết kế hệ thống thương mại điện tử	3
CT071	Phát triển ứng dụng di động - TMDT	3
CT072	Triển khai hệ thống thương mại điện tử	3
CT073	Chính phủ điện tử - TMDT	3
CT074	Hệ thống gợi ý sản phẩm - TMDT	3
CT075HT	Kho dữ liệu và khai phá dữ liệu	3
CT075T	Kho dữ liệu và Khai phá dữ liệu	3
CT076HT	Phân tích dữ liệu	3
CT076T	Phân tích dữ liệu	3
CT078HT	Hệ thống thông tin di động	3
CT080ET	Hệ thống thông tin địa lý	3
CT080HET	Hệ thống thông tin địa lý	3
CT081HE	Hệ thống thông tin quản lý	3
CT083	Ngôn ngữ truyền thông	2
CT084	Cơ sở kỹ thuật đồ họa	2
CT085	Nhập môn Truyền thông đa phương tiện	3
CT086	Nhập môn Web Đa phương tiện	3
CT093	Kỹ xảo điện ảnh	3
CT094	Quy trình sáng tạo sản phẩm đa phương tiện	3
CT095	Dự án phim hoạt hình 3D	3
CT096	Tiếp thị nội dung	3
CT097H	Phát triển ứng dụng Web nâng cao	3
CT098	Phát triển ứng dụng IoT	3
CT099	Blockchain và ứng dụng	3
CT100	Kỹ năng học đại học	2
CT100H	Kỹ năng học đại học	2
CT101	Lập trình căn bản A	4
CT101H	Toán cho khoa học máy tính	4
CT102H	Cấu trúc dữ liệu	4
CT104H	Nguyên lý hệ điều hành	3
CT105E	Kiến trúc máy tính - Điện tử	2
CT105H	Quản trị hệ thống	3
CT106H	Mạng máy tính	3
CT107H	Nhập môn công nghệ phần mềm	3
CT108H	Lập trình hướng đối tượng	3
CT109	Phân tích và thiết kế hệ thống thông tin	3
CT109H	Phân tích và thiết kế thuật toán	3
CT110H	Cơ sở dữ liệu	3
CT112	Mạng máy tính	3
CT112H	Phân tích và thiết kế hệ thống	3
CT113	Nhập môn công nghệ phần mềm	2
CT113H	Cơ sở dữ liệu NoSQL	3
CT114H	Nhập môn công nghệ phần mềm	2
CT115H	Quản trị hệ thống máy tính	3
CT116H	Nền tảng kiến trúc máy tính	3
CT117H	Lập trình Web cơ bản	3
CT121	Tin học lý thuyết	3
CT126	Lý thuyết xếp hàng	2
CT127	Lý thuyết thông tin	2
CT131E	Lập trình căn bản - Điện tử	3
CT132	Linh kiện điện tử	2
CT134	Mạch tương tự	3
CT135	TT. Mạch tương tự	1
CT136E	Mạch số	3
CT138	Toán kỹ thuật	2
CT140E	Lý thuyết tín hiệu và hệ thống	2
CT141	Kỹ thuật vi xử lý	3
CT144E	Xử lý tín hiệu số	3
CT145	TT. Xử lý tín hiệu số	1
CT146	Truyền dữ liệu	2
CT147	TT. Truyền dữ liệu	1
CT148E	Lý thuyết mạch	3
CT164	TT. Kỹ thuật vi xử lý	1
CT166H	Tường lửa	3
CT168	TT. Mạch số	1
CT172	Toán rời rạc	4
CT172E	Toán rời rạc	4
CT173	Kiến trúc máy tính	3
CT173H	Kiến trúc máy tính	3
CT174	Phân tích và thiết kế thuật toán	3
CT175	Lý thuyết đồ thị	3
CT175H	Lý thuyết đồ thị	3
CT176	Lập trình hướng đối tượng	3
CT177	Cấu trúc dữ liệu	3
CT177H	Cấu trúc dữ liệu	3
CT178	Nguyên lý hệ điều hành	3
CT179	Quản trị hệ thống	3
CT180	Cơ sở dữ liệu	3
CT182	Ngôn ngữ mô hình hóa	3
CT182H	Ngôn ngữ mô hình hóa	3
CT188	Nhập môn lập trình web	3
CT189E	Nhập môn mô phỏng	3
CT190	Nhập môn trí tuệ nhân tạo	2
CT190E	Nhập môn trí tuệ nhân tạo	2
CT191	Luật công nghệ thông tin và đạo đức nghề nghiệp	1
CT194	Biên tập Audio và Video	2
CT195	Thiết kế ấn phẩm báo chí	2
CT196	Dựng hình 2D, 3D	3
CT197	Cơ sở lý thuyết mật mã	3
CT199	Quy hoạch tuyến tính	3
CT201E	Niên luận cơ sở ngành Khoa học máy tính	3
CT201H	An ninh máy tính	3
CT202	Nguyên lý máy học	3
CT202H	Tương tác người máy	3
CT203E	Đồ họa máy tính	3
CT203H	Quản lý dự án phần mềm	3
CT204E	An toàn và bảo mật thông tin	3
CT204H	Điện toán đám mây	3
CT205	Quản trị cơ sở dữ liệu	3
CT205H	Nguyên lý máy học	3
CT206	Phát triển ứng dụng trên Linux	3
CT206H	Nguyên lý hệ quản trị cơ sở dữ liệu	3
CT207	Phát triển phần mềm mã nguồn mở	3
CT207E	Phát triển phần mềm mã nguồn mở	3
CT207H	Hệ quản trị cơ sở dữ liệu SQL Server	3
CT208E	Niên luận ngành Khoa học máy tính	3
CT208H	Hệ quản trị cơ sở dữ liệu Oracle	3
CT209	Đồ họa nâng cao	3
CT209H	Quản trị mạng trên MS Windows	3
CT210	Thị giác máy tính	3
CT210H	Quản trị mạng Linux	3
CT211	An ninh mạng	3
CT211H	Phát triển ứng dụng trên Linux	3
CT212	Quản trị mạng	3
CT212H	Phát triển ứng dụng trên Windows	3
CT213H	Phát triển phần mềm mã nguồn mở	3
CT214H	Lập trình Web	3
CT215	Hệ thống gợi ý	3
CT216H	Niên luận cơ sở	3
CT217	Phân tích dữ liệu trực quan	3
CT218H	Lập trình ứng dụng với Java	3
CT219	Xử lý ngôn ngữ tự nhiên	3
CT219H	Lập trình ứng dụng với .NET	3
CT220	Hoạt hình trên máy tính	3
CT220HE	Lập trình di động đa nền tảng	3
CT221	Lập trình mạng	3
CT221H	Nguyên lý hệ quản trị cơ sở dữ liệu	3
CT222	An toàn hệ thống	3
CT222HE	Nền tảng phát triển ứng dụng	3
CT223	Quản lý dự án phần mềm	3
CT223H	Nền tảng Trí tuệ nhân tạo	3
CT223HE	Nền tảng trí tuệ nhân tạo	3
CT224E	Công nghệ J2EE	2
CT224H	Phân tích dữ liệu lớn	3
CT225	Lập trình Python	2
CT225H	Lập trình song song với CUDA	3
CT226E	Niên luận cơ sở mạng máy tính và truyền thông	3
CT226H	Lập trình trí tuệ nhân tạo với Python	3
CT227	Kỹ thuật phát hiện tấn công mạng	3
CT227H	Máy học và ứng dụng	3
CT228	Tường lửa	3
CT228H	Nền tảng An ninh mạng	3
CT230	Phát triển ứng dụng hướng dịch vụ	3
CT230H	Phát triển ứng dụng hướng dịch vụ	3
CT231	Lập trình song song	3
CT232E	Đánh giá hiệu năng mạng	3
